,ME1,ME2,ME3,ME4,ME5,ME6,ME7
TCGA-55-A493-01A,2.1513298686528906,4.9686365653964994,4.900991135747861,3.5155120265153266,-0.9567621035823463,11.4814441656464,-29.373173294592224
TCGA-78-7542-01A,-8.088274620211216,-3.2041330935348196,-1.2133911046216852,-3.262041530386702,-13.326219565255322,-19.299547024176004,-34.643558952937504
TCGA-55-7815-01A,2.154930925224505,-0.8895993172078727,-8.092367007076746,-5.915643461970436,1.141369715527724,0.12232580460783092,-8.515427743005706
TCGA-97-7938-01A,-3.1079074820155768,-3.1468991270366016,-1.335263966627357,1.4145773991713972,1.9117417419471452,-8.278151372319597,21.28900623936755
TCGA-69-7973-01A,1.7283685218018445,-1.317646741186569,0.6800906726675072,-2.1844482200152955,2.9492807430068693,-14.10032228334629,-11.56846421436953
TCGA-55-8505-01A,3.224490843930351,-2.4056518848229542,0.7866922029520024,-0.7925943353781412,6.470629380783046,-20.728311603237778,-15.047243468088615
TCGA-62-A472-01A,-6.25817433477411,-0.26290104497861694,6.2004011780134025,7.317526222073329,-6.421367150009816,0.314219435601648,-14.709539075030948
TCGA-44-A4SS-01A,-6.206323357853337,2.349368910665397,3.92746959483764,2.9771754027277066,2.746708428956715,11.324778777760804,-13.005314696157928
TCGA-55-8087-01A,-9.799316381503038,-5.7937731313444205,5.047905217796711,7.350417254466952,-0.4604046059713216,-11.09400338669781,13.971375999324579
TCGA-86-A4JF-01A,1.0816225957065229,-0.1770130795509254,0.8598985533807101,-0.7335311983741198,-5.943393512345109,-2.439734760194834,-16.367533360844448
TCGA-86-6562-01A,2.1176486807868025,-1.978792793744286,-4.2717921266659316,-6.055849844709903,6.412440205007881,-5.034529596376985,-1.3480078223868994
TCGA-05-4432-01A,11.180109650926346,4.295885708477637,-3.0208559330594853,-5.158867686798816,-0.901231798160321,-0.8194606395544558,-12.060698297243286
TCGA-69-8254-01A,9.121947177923207,2.773714066614777,-1.0657023661045808,0.23276626375706963,-4.628056391144525,1.251796395747689,16.25646761011749
TCGA-64-1676-01A,-0.7741552166271598,-2.08376070464117,-3.9990643969523187,-6.312621754110721,-4.178179881504207,2.3793158996283745,-24.606186286633037
TCGA-62-A470-01A,-7.918915873262181,-6.368791858947811,8.62818617738333,6.652104279901242,-7.5845574857291105,-12.974478734025489,-3.604726825679802
TCGA-55-8616-01A,-6.341104474325412,-2.127857169139821,2.217057857924267,1.8164104571019564,-2.243046679501257,-13.436483001045694,1.2049821282421895
TCGA-93-7348-01A,10.110646404538123,3.751238764504955,2.1539875062123053,1.3228713407324928,5.759791869176302,-5.3860309841812555,9.866924134475338
TCGA-78-7148-01A,-3.48227876850973,-3.281483135241819,-7.216076263777578,-8.880594859173144,-4.914445543926999,-16.001246247382554,-9.650897446404842
TCGA-44-2657-01A,15.409106070168855,10.69105317303633,0.9333140189278493,1.8123936227204467,2.23460525430534,21.486071913273722,10.304377784254001
TCGA-62-A46S-01A,4.20846714426228,-0.6121778266772506,6.517528350444066,6.006942870637896,-4.980834002595729,-8.176352237871171,5.333680533818087
TCGA-49-AAR2-01A,8.44182936904706,2.2482934196815756,8.843207143203484,3.642710101035842,-10.170729027487244,-14.801771496435402,-26.163271544008804
TCGA-97-7937-01A,-7.8751725035879945,-5.5467268605665145,3.9716117348387265,2.8444160405057817,-3.3997979486430316,-22.882006623446827,-18.357830063210038
